candle_open_time,close_price,rsi_14,macd_histogram,adx_14,plus_di,minus_di,ema_50,ema_200,vwap,cvd_delta,structure_trend,avg_funding_rate,macro_regime,sentiment_classification,onchain_sopr,onchain_mvrv,onchain_lth_net_position_change_btc,onchain_stablecoin_supply,onchain_whale_addr_count,close_price_fwd_24h
2024-09-04T00:00:00+00:00,57944.8,,,,,,,,57333.26666666666,-1918.2390000000014,ranging,9.016e-05,Neutral,Fear,1.0,1.8419,,158504597997.04,101.0,56145.7
2024-09-05T00:00:00+00:00,56145.7,,,,,,,,57027.480164122106,-10303.935999999987,ranging,2.28e-05,Neutral,Extreme Fear,0.9948,1.7819,,158400339159.91998,101.0,53927.7
2024-09-06T00:00:00+00:00,53927.7,,,,,,,,55918.560526108144,-21007.429000000004,ranging,-5.57e-06,Neutral,Extreme Fear,0.9942,1.7108,,158581059740.87003,102.0,54134.9
2024-09-07T00:00:00+00:00,54134.9,,,,,,,,55742.70455898438,-4722.671999999991,ranging,3.745e-05,Neutral,Fear,0.9964,1.7182,8578.75941479,158584270593.27,102.0,54839.6
2024-09-08T00:00:00+00:00,54839.6,,,,,,,,55607.02811176248,-1890.441999999981,ranging,-7.585e-05,Neutral,Fear,0.998,1.7435,5976.5557772,158416498203.03998,102.0,57010.0
2024-09-09T00:00:00+00:00,57010.0,,,,,,,,55784.63077692305,10524.233000000007,ranging,-6.028e-05,Mixed,Fear,1.0081,1.8141,-15232.77758383,158550369756.56998,102.0,57609.1
2024-09-10T00:00:00+00:00,57609.1,,,,,,,,55967.788465811194,-90.04200000001583,ranging,-8.953e-05,Neutral,Fear,0.9989,1.8309,6484.95275058,158616501768.53998,103.0,57306.0
2024-09-11T00:00:00+00:00,57306.0,,,,,,,,56110.43342580398,-5158.816999999981,ranging,-1.951e-05,Neutral,Fear,0.999,1.8228,5268.02342942,158685349312.81003,101.0,58097.0
2024-09-12T00:00:00+00:00,58097.0,,,,,,,,56305.11895221303,4673.054000000033,ranging,-6.9e-07,Risk-On,Fear,1.0038,1.8449,3415.44191843,159094216286.86996,101.0,60456.2
2024-09-13T00:00:00+00:00,60456.2,,,,,,,,56625.50152731842,8720.599999999977,ranging,-8.699e-05,Neutral,Neutral,1.0105,1.9182,-11091.38832198,159116525076.99,101.0,59964.0
2024-09-14T00:00:00+00:00,59964.0,,,,,,,,56743.18043367332,-2948.3629999999976,ranging,-4.91e-06,Neutral,Neutral,1.0032,1.9011,7396.91738458,159252083355.43997,101.0,59100.5
2024-09-15T00:00:00+00:00,59100.5,,,,,,,,56856.08385291825,-2727.800000000003,ranging,2.402e-05,Neutral,Fear,1.0025,1.8732,5277.03475919,159796242023.62,101.0,58187.0
2024-09-16T00:00:00+00:00,58187.0,,,,,,,,56963.87146863599,-1969.9899999999907,ranging,6.762e-05,Mixed,Fear,1.0024,1.8442,-6408.89846364,159754282424.46997,102.0,60281.0
2024-09-17T00:00:00+00:00,60281.0,,,,,,,,57208.51689585465,6859.91399999999,ranging,1.344e-05,Neutral,Fear,1.0085,1.9066,458.84716045,159903572247.87997,102.0,61735.3
2024-09-18T00:00:00+00:00,61735.3,61.16869876777474,,,,,,,57537.69465421176,1384.7480000000214,ranging,3.512e-05,Neutral,Neutral,1.0085,1.9385,70.99651692,159574779296.58002,102.0,62926.9
2024-09-19T00:00:00+00:00,62926.9,63.898765736990335,,,30.32079291876132,16.447267095255807,,,57907.82712526513,6554.4379999999655,ranging,8.065e-05,Neutral,Neutral,1.0158,1.9894,202.8372764,159801100944.71002,103.0,63175.7
2024-09-20T00:00:00+00:00,63175.7,64.46059718820261,,,29.54711233152102,15.532075787630653,,,58208.921272140054,-2380.5570000000007,ranging,5.543e-05,Neutral,Neutral,1.0168,1.9913,8392.52116427,159899195178.33,103.0,63320.6
